COUNTY_ID,COUNTY_ID_NM,TOWN_ID,TOWN_ID_NM,V_ID,V_ID_NM,fld0101,fld0201,fld0301,fld0401
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,戶數,人口數,男性人口數,女性人口數
"10002","宜蘭縣","10002100","三星鄉","10002100-005","人和村",193,542,279,263
"10002","宜蘭縣","10002100","三星鄉","10002100-017","大洲村",630,1765,970,795
"10002","宜蘭縣","10002100","三星鄉","10002100-015","大義村",544,1313,711,602
"10002","宜蘭縣","10002100","三星鄉","10002100-010","大隱村",1640,4376,2325,2051
"10002","宜蘭縣","10002100","三星鄉","10002100-002","天山村",245,651,350,301
"10002","宜蘭縣","10002100","三星鄉","10002100-003","天福村",295,853,478,375
"10002","宜蘭縣","10002100","三星鄉","10002100-008","月眉村",370,1060,578,482
"10002","宜蘭縣","10002100","三星鄉","10002100-011","行健村",338,897,480,417
"10002","宜蘭縣","10002100","三星鄉","10002100-018","尾塹村",519,1582,870,712
"10002","宜蘭縣","10002100","三星鄉","10002100-016","尚武村",352,871,478,393
"10002","宜蘭縣","10002100","三星鄉","10002100-009","拱照村",680,1469,856,613
"10002","宜蘭縣","10002100","三星鄉","10002100-001","員山村",100,238,129,109
"10002","宜蘭縣","10002100","三星鄉","10002100-013","貴林村",217,571,299,272
"10002","宜蘭縣","10002100","三星鄉","10002100-007","集慶村",474,1398,710,688
"10002","宜蘭縣","10002100","三星鄉","10002100-014","萬富村",327,829,462,367
"10002","宜蘭縣","10002100","三星鄉","10002100-012","萬德村",252,674,373,301
"10002","宜蘭縣","10002100","三星鄉","10002100-006","義德村",527,1395,748,647
"10002","宜蘭縣","10002100","三星鄉","10002100-004","雙賢村",258,707,393,314
"10002","宜蘭縣","10002110","大同鄉","10002110-007","太平村",28,81,53,28
"10002","宜蘭縣","10002110","大同鄉","10002110-008","四季村",298,1004,528,476
"10002","宜蘭縣","10002110","大同鄉","10002110-003","松羅村",242,830,457,373
"10002","宜蘭縣","10002110","大同鄉","10002110-009","南山村",249,839,453,386
"10002","宜蘭縣","10002110","大同鄉","10002110-010","茂安村",74,213,123,90
"10002","宜蘭縣","10002110","大同鄉","10002110-005","英士村",150,426,237,189
"10002","宜蘭縣","10002110","大同鄉","10002110-002","崙埤村",222,715,384,331
"10002","宜蘭縣","10002110","大同鄉","10002110-001","寒溪村",341,1092,581,511
"10002","宜蘭縣","10002110","大同鄉","10002110-004","復興村",111,339,189,150
"10002","宜蘭縣","10002110","大同鄉","10002110-006","樂水村",151,466,265,201
"10002","宜蘭縣","10002090","五結鄉","10002090-002","二結村",698,2019,1019,1000
"10002","宜蘭縣","10002090","五結鄉","10002090-001","三興村",785,2223,1173,1050
"10002","宜蘭縣","10002090","五結鄉","10002090-004","上四村",708,1753,896,857
"10002","宜蘭縣","10002090","五結鄉","10002090-009","大吉村",1358,4044,2091,1953
"10002","宜蘭縣","10002090","五結鄉","10002090-005","中興村",578,1504,753,751
"10002","宜蘭縣","10002090","五結鄉","10002090-008","五結村",1424,4003,2119,1884
"10002","宜蘭縣","10002090","五結鄉","10002090-006","四結村",1044,2672,1357,1315
"10002","宜蘭縣","10002090","五結鄉","10002090-014","成興村",1143,3413,1758,1655
"10002","宜蘭縣","10002090","五結鄉","10002090-013","利澤村",827,2449,1258,1191
"10002","宜蘭縣","10002090","五結鄉","10002090-011","孝威村",579,1702,898,804
"10002","宜蘭縣","10002090","五結鄉","10002090-010","協和村",1270,3545,1832,1713
"10002","宜蘭縣","10002090","五結鄉","10002090-015","季新村",1111,3311,1725,1586
"10002","宜蘭縣","10002090","五結鄉","10002090-007","福興村",702,2009,1058,951
"10002","宜蘭縣","10002090","五結鄉","10002090-012","錦眾村",581,1761,936,825
"10002","宜蘭縣","10002090","五結鄉","10002090-003","鎮安村",951,2822,1466,1356
"10002","宜蘭縣","10002080","冬山鄉","10002080-012","八寶村",342,1008,545,463
"10002","宜蘭縣","10002080","冬山鄉","10002080-004","三奇村",340,1124,583,541
"10002","宜蘭縣","10002080","冬山鄉","10002080-013","丸山村",547,1673,879,794
"10002","宜蘭縣","10002080","冬山鄉","10002080-024","大進村",339,948,535,413
"10002","宜蘭縣","10002080","冬山鄉","10002080-005","大興村",351,1085,591,494
"10002","宜蘭縣","10002080","冬山鄉","10002080-014","中山村",204,552,294,258
"10002","宜蘭縣","10002080","冬山鄉","10002080-011","太和村",570,1729,911,818
"10002","宜蘭縣","10002080","冬山鄉","10002080-009","冬山村",404,1008,534,474
"10002","宜蘭縣","10002080","冬山鄉","10002080-016","永美村",1266,3379,1730,1649
"10002","宜蘭縣","10002080","冬山鄉","10002080-010","安平村",279,875,449,426
"10002","宜蘭縣","10002080","冬山鄉","10002080-006","東城村",539,1718,880,838
"10002","宜蘭縣","10002080","冬山鄉","10002080-001","武淵村",517,1333,705,628
"10002","宜蘭縣","10002080","冬山鄉","10002080-008","南興村",1181,3753,1842,1911
"10002","宜蘭縣","10002080","冬山鄉","10002080-023","柯林村",694,1935,1007,928
"10002","宜蘭縣","10002080","冬山鄉","10002080-002","珍珠村",608,1874,956,918
"10002","宜蘭縣","10002080","冬山鄉","10002080-007","香和村",1093,3555,1773,1782
"10002","宜蘭縣","10002080","冬山鄉","10002080-020","得安村",472,1346,717,629
"10002","宜蘭縣","10002080","冬山鄉","10002080-018","清溝村",1516,4489,2209,2280
"10002","宜蘭縣","10002080","冬山鄉","10002080-019","鹿埔村",931,2698,1490,1208
"10002","宜蘭縣","10002080","冬山鄉","10002080-015","順安村",2011,5771,2948,2823
"10002","宜蘭縣","10002080","冬山鄉","10002080-017","群英村",2010,5611,2823,2788
"10002","宜蘭縣","10002080","冬山鄉","10002080-003","補城村",472,1364,704,660
"10002","宜蘭縣","10002080","冬山鄉","10002080-022","廣安村",690,1977,994,983
"10002","宜蘭縣","10002080","冬山鄉","10002080-021","廣興村",1033,2926,1476,1450
"10002","宜蘭縣","10002060","壯圍鄉","10002060-013","大福村",672,2015,1075,940
"10002","宜蘭縣","10002060","壯圍鄉","10002060-010","功勞村",494,1463,770,693
"10002","宜蘭縣","10002060","壯圍鄉","10002060-009","古亭村",604,1761,937,824
"10002","宜蘭縣","10002060","壯圍鄉","10002060-014","古結村",442,1214,629,585
"10002","宜蘭縣","10002060","壯圍鄉","10002060-007","永鎮村",297,948,490,458
"10002","宜蘭縣","10002060","壯圍鄉","10002060-001","吉祥村",967,2780,1404,1376
"10002","宜蘭縣","10002060","壯圍鄉","10002060-008","忠孝村",897,2650,1403,1247
"10002","宜蘭縣","10002060","壯圍鄉","10002060-004","東港村",370,1149,615,534
"10002","宜蘭縣","10002060","壯圍鄉","10002060-011","美城村",828,2410,1321,1089
"10002","宜蘭縣","10002060","壯圍鄉","10002060-002","美福村",709,2035,1102,933
"10002","宜蘭縣","10002060","壯圍鄉","10002060-005","復興村",648,1929,1015,914
"10002","宜蘭縣","10002060","壯圍鄉","10002060-012","新社村",443,1225,669,556
"10002","宜蘭縣","10002060","壯圍鄉","10002060-003","新南村",411,1089,593,496
"10002","宜蘭縣","10002060","壯圍鄉","10002060-006","過嶺村",607,1800,953,847
"10002","宜蘭縣","10002010","宜蘭市","10002010-016","七張里",474,1649,870,779
"10002","宜蘭縣","10002010","宜蘭市","10002010-005","大東里",238,586,291,295
"10002","宜蘭縣","10002010","宜蘭市","10002010-033","大道里",600,1749,842,907
"10002","宜蘭縣","10002010","宜蘭市","10002010-021","小東里",560,1494,744,750
"10002","宜蘭縣","10002010","宜蘭市","10002010-031","中山里",310,743,386,357
"10002","宜蘭縣","10002010","宜蘭市","10002010-020","中正里",284,651,348,303
"10002","宜蘭縣","10002010","宜蘭市","10002010-039","文化里",1452,4036,1944,2092
"10002","宜蘭縣","10002010","宜蘭市","10002010-028","北門里",361,966,505,461
"10002","宜蘭縣","10002010","宜蘭市","10002010-026","北津里",746,2163,1078,1085
"10002","宜蘭縣","10002010","宜蘭市","10002010-003","民生里",223,489,262,227
"10002","宜蘭縣","10002010","宜蘭市","10002010-036","民族里",1119,3068,1491,1577
"10002","宜蘭縣","10002010","宜蘭市","10002010-002","民權里",947,2114,1092,1022
"10002","宜蘭縣","10002010","宜蘭市","10002010-032","西門里",531,1413,719,694
"10002","宜蘭縣","10002010","宜蘭市","10002010-023","孝廉里",420,1113,596,517
"10002","宜蘭縣","10002010","宜蘭市","10002010-007","和睦里",1046,2564,1245,1319
"10002","宜蘭縣","10002010","宜蘭市","10002010-015","延平里",2610,7673,3680,3993
"10002","宜蘭縣","10002010","宜蘭市","10002010-004","昇平里",294,714,365,349
"10002","宜蘭縣","10002010","宜蘭市","10002010-014","東村里",2101,6127,2945,3182
"10002","宜蘭縣","10002010","宜蘭市","10002010-019","東門里",203,481,239,242
"10002","宜蘭縣","10002010","宜蘭市","10002010-034","南門里",223,560,261,299
"10002","宜蘭縣","10002010","宜蘭市","10002010-011","南津里",650,1813,882,931
"10002","宜蘭縣","10002010","宜蘭市","10002010-009","南橋里",254,843,438,405
"10002","宜蘭縣","10002010","宜蘭市","10002010-037","建軍里",1275,3597,1669,1928
"10002","宜蘭縣","10002010","宜蘭市","10002010-010","建業里",628,1854,944,910
"10002","宜蘭縣","10002010","宜蘭市","10002010-038","思源里",3282,9392,4446,4946
"10002","宜蘭縣","10002010","宜蘭市","10002010-035","負郭里",1376,3805,1788,2017
"10002","宜蘭縣","10002010","宜蘭市","10002010-001","神農里",252,619,318,301
"10002","宜蘭縣","10002010","宜蘭市","10002010-025","茭白里",1009,2912,1443,1469
"10002","宜蘭縣","10002010","宜蘭市","10002010-027","梅洲里",1158,3550,1834,1716
"10002","宜蘭縣","10002010","宜蘭市","10002010-012","凱旋里",833,2066,1051,1015
"10002","宜蘭縣","10002010","宜蘭市","10002010-040","復興里",1383,3420,1622,1798
"10002","宜蘭縣","10002010","宜蘭市","10002010-022","菜園里",613,1592,774,818
"10002","宜蘭縣","10002010","宜蘭市","10002010-008","進士里",2462,6403,3068,3335
"10002","宜蘭縣","10002010","宜蘭市","10002010-030","鄂王里",336,825,423,402
"10002","宜蘭縣","10002010","宜蘭市","10002010-017","慈安里",2091,5746,2768,2978
"10002","宜蘭縣","10002010","宜蘭市","10002010-018","新民里",290,643,329,314
"10002","宜蘭縣","10002010","宜蘭市","10002010-024","新生里",966,2870,1463,1407
"10002","宜蘭縣","10002010","宜蘭市","10002010-006","新興里",254,673,326,347
"10002","宜蘭縣","10002010","宜蘭市","10002010-029","慶和里",318,888,451,437
"10002","宜蘭縣","10002010","宜蘭市","10002010-013","黎明里",689,2121,1083,1038
"10002","宜蘭縣","10002120","南澳鄉","10002120-003","東岳村",174,550,271,279
"10002","宜蘭縣","10002120","南澳鄉","10002120-005","武塔村",189,524,286,238
"10002","宜蘭縣","10002120","南澳鄉","10002120-004","金岳村",167,561,282,279
"10002","宜蘭縣","10002120","南澳鄉","10002120-006","金洋村",205,603,327,276
"10002","宜蘭縣","10002120","南澳鄉","10002120-001","南澳村",470,1507,802,705
"10002","宜蘭縣","10002120","南澳鄉","10002120-002","碧候村",369,1215,649,566
"10002","宜蘭縣","10002120","南澳鄉","10002120-007","澳花村",293,952,513,439
"10002","宜蘭縣","10002070","員山鄉","10002070-004","七賢村",504,1597,873,724
"10002","宜蘭縣","10002070","員山鄉","10002070-008","中華村",310,745,434,311
"10002","宜蘭縣","10002070","員山鄉","10002070-007","內城村",622,1682,885,797
"10002","宜蘭縣","10002070","員山鄉","10002070-009","永和村",712,2121,1093,1028
"10002","宜蘭縣","10002070","員山鄉","10002070-012","同樂村",916,2874,1566,1308
"10002","宜蘭縣","10002070","員山鄉","10002070-002","尚德村",880,2480,1336,1144
"10002","宜蘭縣","10002070","員山鄉","10002070-011","枕山村",911,2646,1434,1212
"10002","宜蘭縣","10002070","員山鄉","10002070-001","員山村",2288,6395,3225,3170
"10002","宜蘭縣","10002070","員山鄉","10002070-005","深溝村",763,2046,1095,951
"10002","宜蘭縣","10002070","員山鄉","10002070-003","惠好村",583,1750,925,825
"10002","宜蘭縣","10002070","員山鄉","10002070-015","湖北村",398,1182,629,553
"10002","宜蘭縣","10002070","員山鄉","10002070-016","湖西村",601,1667,951,716
